,Film,Year,Rotten Tomatoes' Top 100
0,1,The Godfather,1972
1,2,Citizen Kane,1941
2,3,Casablanca,1942
3,4,"The Godfather, Part II",1974
4,5,Singin' in the Rain,1952
5,6,Psycho,1960
6,7,Rear Window,1954
7,8,Apocalypse Now,1979
8,9,2001: A Space Odyssey,1968
9,10,Seven Samurai,1954
10,11,Vertigo,1958
11,12,Sunset Blvd,1950
12,13,Modern Times,1936
13,14,Lawrence of Arabia,1962
14,15,North by Northwest,1959
15,16,Star Wars,1977
16,17,Parasite,2019
17,18,Schindler's List,1993
18,19,Lord of the Rings: The Fellowship of the Ring,2001
19,20,Shawshank Redemption,1994
20,21,It's a Wonderful Life,1946
21,22,Pulp Fiction,1994
22,23,Avengers: Endgame,2019
23,24,City Lights,1931
24,25,One Flew Over the Cuckoo's Nest,1975
